Competência;Temática;Título;Instituição;Modalidade;Carga Horária;Público-Alvo;Link
fddijfioajofijdsa;DADOS;ANÁLISE DE DADOS: UMA LEITURA CRÍTICA DAS INFORMAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;EAD;23 h/a;Gestores;https://www.escolavirtual.gov.br/curso/764
dfifjia;DADOS;ANÁLISE DE DADOS COMO SUPORTE À TOMADA DE DECISÃO;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/406
dfkkap;Licitações e Contratos na Adm Pública;PRATICANDO A GESTÁO E FISCALIZAÇÃO DE CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;28 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2079/?area=13
kokokapoakpd;Licitações e Contratos na Adm Pública;PRATICANDO A APLICAÇÃO DE PENALIDADES NOS CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2037/?area=14
kodksaosk;Licitações e Contratos na Adm Pública;COMO FISCALIZAR COM EFICIÊNCIA CONTRATOS PÚBLICOS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/706
dfkdpfkpoakdf;Licitações e Contratos na Adm Pública;GESTÃO DE FISCALIZAÇÃO DE CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/939
fddijfioajofijdsa;Licitações e Contratos na Adm Pública;APLICAÇÃO DE PENALIDADES NOS CONTRATOS ADMINISTRATIVOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;32 h/a;Gestores;https://www.escolavirtual.gov.br/curso/383/
dfifjia;Legislação de Pessoal;LEI 8.112/90 E SUAS ALTERAÇÕES;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/405/
dfkkap;Previdência;PREVIDÊNCIA REGIME GERAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/1070
kokokapoakpd;Previdência;PREVIDÊNCIA COMPLEMENTAR PARA SERVIDORES PÚBLICOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/910
kodksaosk;Previdência;APOSENTADORIA E PENSÃO DE SERVIDORES: ATUALIZAÇÕES CONFORME EMENDA 103/2019;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/695
dfkdpfkpoakdf;Previdência;A PREVIDÊNCIA SOCIAL DOS SERVIDORES PÚBLICOS: REGIME PRÓPRIO E REGIME DE PREVIDÊNCIA;https://acad-inpi.github.io/black/enap-logo.png;EAD;30 h/a;Gestores;https://www.escolavirtual.gov.br/curso/681
fddijfioajofijdsa;Previdência;NOÇÕES BÁSICAS EM PREVIDÊNCIA COMPLEMENTAR;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/183
dfifjia;Previdência;FUNPRESP PARA RH - A PREVIDÊNCIA COMPLEMENTAR DO SERVIDOR PÚBLICO FEDERAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;50 h/a;Gestores;https://www.escolavirtual.gov.br/curso/197
dfkkap;Previdência;ESOCIAL PARA ÓRGÃOS PÚBLICOS - RPPS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/219
kokokapoakpd;Previdência;FUNPRESP - A PREVIDÊNCIA COMPLEMENTAR DO SERVIDOR PÚBLICO FEDERAL;https://acad-inpi.github.io/black/enap-logo.png;EAD;40 h/a;Gestores;https://www.escolavirtual.gov.br/curso/196
kodksaosk;Comunicação;HABILIDADES DE COMUNICAÇÃO INTERPESSOAL NO AMBIENTE DE TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2049/?area=3
dfkdpfkpoakdf;Comunicação;COMUNICAÇÃO NÃO-VIOLENTA: BASES E APLICAÇÕES NA ERA DO TRABALHO REMOTO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;18 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/1181/?area=3
fddijfioajofijdsa;Comunicação;STORYTELLING COM DADOS PARA COMUNICAÇÃO PROFISSIONAL DE SUCESSO;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/815/
dfifjia;Comunicação;COMUNICAÇÃO NÃO-VIOLENTA;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/463/
dfkkap;Comunicação;GESTÃO DE EQUIPES EM TRABALHO REMOTO;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/334/
kokokapoakpd;Comunicação;E-LIDERANÇA: COMO GERENCIAR E LIDERAR EQUIPES EM AMBIENTES REMOTOS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/773
kodksaosk;Linguagem Simples;PRIMEIROS PASSOS PARA USO DE LINGUAGEM SIMPLES;https://acad-inpi.github.io/black/enap-logo.png;EAD;8 h/a;Gestores;https://www.escolavirtual.gov.br/curso/315
dfkdpfkpoakdf;Linguagem Simples;LINGUAGEM SIMPLES APROXIMA O GOVERNO DAS PESSOAS. COMO USAR?;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/332
fddijfioajofijdsa;Gestão estratégica de Pessoas;CERTIFICAÇÃO AVANÇADA EM DESENVOLVIMENTO DE GERENTES DE PESSOAS;https://acad-inpi.github.io/black/enap-logo.png;HÍBRIDO;101 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2139/?area=7
dfifjia;Gestão estratégica de Pessoas;GESTÃO ESTRATÉGICA DE PESSOAS NO SETOR PÚBLICO E O SISTEMA DE CARREIRAS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/685/
dfkkap;Gestão estratégica de Pessoas;CLIMA ORGANIZACIONAL;https://acad-inpi.github.io/black/enap-logo.png;HÍBRIDO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2008/?area=7
kokokapoakpd;Gestão estratégica de Pessoas;EMPLOYEE EXPERIENCE (EX): ENGAJAMENTO E PRODUTIVIDADE NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;EAD;25 h/a;Gestores;https://www.escolavirtual.gov.br/curso/805/
kodksaosk;Gestão estratégica de Pessoas;ATUAÇÃO ESTRATÉGICA DE EQUIPES DE GESTÃO DE PESSOAS;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2020/?area=3
dfkdpfkpoakdf;Gestão estratégica de Pessoas;PRATICANDO O DIMENSIONAMENTO DA FORÇA DE TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2055/?area=7
fddijfioajofijdsa;Gestão estratégica de Pessoas;QUALIFICAÇÃO EM DIMENSIONAMENTO DA FORÇA DE TRABALHO;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/863/
dfifjia;Inovação;PRINCÍPIOS DO DESIGN THINKING E INOVAÇÃO EM GOVERNO;https://acad-inpi.github.io/black/enap-logo.png;EAD;10 h/a;Gestores;https://www.escolavirtual.gov.br/curso/326
dfkkap;Inovação;TRANSFORMANDO SERVIÇOS COM DESIGN THINKING;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/1140/?area=11
kokokapoakpd;Inovação;PRATICANDO A TRANSFORMAÇÃO DE SERVIÇOS COM DESIGN THINKING;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2028/?area=12
kodksaosk;Gestão do Conhecimento;PRATICANDO A GESTÃO DO CONHECIMENTO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2061/?area=9
dfkdpfkpoakdf;Gestão do Conhecimento;GESTÃO DO CONHECIMENTO NO SETOR PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/414/
fddijfioajofijdsa;Gestão do Conhecimento;GESTÃO DO CONHECIMENTO: TEORIA E PRÁTICAS;https://acad-inpi.github.io/black/enap-logo.png;EAD;20 h/a;Gestores;https://www.escolavirtual.gov.br/curso/904/
dfifjia;Diversidade;PLURALIDADE E INCLUSÃO NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;21 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2013/?area=24
dfkkap;Diversidade;POLÍTICAS PÚBLICAS E INTERSECCIONALIDADES;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;25 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2441/?area=25
kokokapoakpd;Diversidade;EMPRESAS E DIREITOS HUMANOS APLICADO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;22 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2043/?area=44
kodksaosk;Diversidade;GESTÃO DE DIVERSIDADE NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;22 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2380/?area=44
dfkdpfkpoakdf;Diversidade;PARTICIPAÇÃO EM COMISSÕES DE HETEROIDENTIFICAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;REMOTO;20 h/a;Gestores;https://suap.enap.gov.br/vitrine/curso/2254/?area=44
