Competência;Temática;Título;Instituição;Carga Horária;LINK;MODALIDADE
dfifjia;Diversidade;PLURALIDADE E INCLUSÃO NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2013/?area=24;REMOTO
dfkkap;Diversidade;POLÍTICAS PÚBLICAS E INTERSECCIONALIDADES;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://suap.enap.gov.br/vitrine/curso/2441/?area=25;REMOTO
kokokapoakpd;Diversidade;EMPRESAS E DIREITOS HUMANOS APLICADO;https://acad-inpi.github.io/black/enap-logo.png;22 h/a;https://suap.enap.gov.br/vitrine/curso/2043/?area=44;REMOTO
kodksaosk;Diversidade;GESTÃO DE DIVERSIDADE NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;22 h/a;https://suap.enap.gov.br/vitrine/curso/2380/?area=44;REMOTO
dfkdpfkpoakdf;Diversidade;PARTICIPAÇÃO EM COMISSÕES DE HETEROIDENTIFICAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2254/?area=44;REMOTO
fddijfioajofijdsa;Diversidade;SUPERANDO O CAPACITISMO NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2386/?area=24;REMOTO
dfifjia;Diversidade;PRATICANDO O LETRAMENTO SOCIAL NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2375/?area=19;REMOTO
dfkkap;Diversidade;INCLUSÃO DE GÊNERO NA PONTA DA LÍNGUA;https://acad-inpi.github.io/black/enap-logo.png;8 h/a;https://www.escolavirtual.gov.br/curso/924;EAD
kokokapoakpd;Diversidade;EMPRESAS E DIREITOS HUMANOS;https://acad-inpi.github.io/black/enap-logo.png;30 h/a;https://www.escolavirtual.gov.br/curso/333;EAD
kodksaosk;Diversidade;PLURALIDADE E INCLUSÃO NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;21 h/a;https://suap.enap.gov.br/vitrine/curso/2013/?area=24;REMOTO
dfkdpfkpoakdf;Diversidade;POLÍTICAS PÚBLICAS E INTERSECCIONALIDADES;https://acad-inpi.github.io/black/enap-logo.png;25 h/a;https://suap.enap.gov.br/vitrine/curso/2441/?area=25;REMOTO
fddijfioajofijdsa;Diversidade;EMPRESAS E DIREITOS HUMANOS APLICADO;https://acad-inpi.github.io/black/enap-logo.png;22 h/a;https://suap.enap.gov.br/vitrine/curso/2043/?area=44;REMOTO
dfifjia;Diversidade;GESTÃO DE DIVERSIDADE NO SERVIÇO PÚBLICO;https://acad-inpi.github.io/black/enap-logo.png;22 h/a;https://suap.enap.gov.br/vitrine/curso/2380/?area=44;REMOTO
dfkkap;Diversidade;PARTICIPAÇÃO EM COMISSÕES DE HETEROIDENTIFICAÇÃO;https://acad-inpi.github.io/black/enap-logo.png;20 h/a;https://suap.enap.gov.br/vitrine/curso/2254/?area=44;REMOTO
